Mag X,Mag Y,Mag Z
39.00,430.50,273.00
31.50,,
25.50,433.50,282.00
24.00,438.00,285.00
30.00,433.50,274.50
43.50,432.00,279.00
49.50,427.50,274.50
81.00,432.00,265.50
127.50,442.50,249.00
175.50,447.00,198.00
220.50,441.00,159.00
256.50,427.50,96.00
258.00,436.50,39.00
264.00,438.00,46.50
256.50,447.00,6.00
253.50,,-46.50
225.00,435.00,-111.00
198.00,421.50,-153.00
124.50,406.50,-207.00
46.50,396.00,-234.00
-12.00,385.50,-238.50
-72.00,381.00,-232.50
-123.00,382.50,-216.00
-178.50,381.00,-190.50
-220.50,382.50,-148.50
-249.00,,-109.50
-274.50,,-72.00
-289.50,,-28.50
-294.00,402.00,12.00
-291.00,403.50,45.00
-282.00,402.00,70.50
-286.50,406.50,70.50
-291.00,414.00,66.00
